"Wildlife_Centre","Habitat_type","Plastic_type","Outcome","Admissions_annually"
"Hedgely hogspital ","Peri-urban","Plastic_bag","PTS",300
"Independent Practitioner (Ecologist)","Rural","Plastic_bag","Recovered",100
"Cuan wildlife rescue ","Peri-urban","Plastic_bag","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_bag","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_bag","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_bag","Recovered",300
"Glamorgan Hedgehog Rescue","Urban","Plastic_bag","PTS",200
"Glamorgan Hedgehog Rescue","Urban","Plastic_bag","Recovered",200
"Glamorgan Hedgehog Rescue","Urban","Plastic_bag","Recovered",200
"Hedgely hogspital ","Rural","Plastic_bag","Recovered",300
"The Hedgehog Hut","Urban","Plastic_bag","PTS",125
"West Midlands Hedgehog Rescue ","Urban","Plastic_bag","PTS",850
"Hedgepigs and Hoglets Rescue","Urban","Plastic_netting","Recovered",500
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_netting","PTS",520
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_netting","Recovered",520
"Bruce Howell","Peri-urban","Plastic_netting","Recovered",92
"Cambridgeshire Wildlife Care","Peri-urban","Plastic_netting","Recovered",500
"Cuan Wildlife ","Peri-urban","Plastic_netting","Recovered",300
"Cuan Wildlife ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","PTS",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","PTS",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"Cuan wildlife rescue ","Peri-urban","Plastic_netting","Recovered",300
"East Sussex WRAS","Rural","Plastic_netting","PTS",150
"Emma's Hedgehog Hotel","Peri-urban","Plastic_netting","PTS",100
"Emma's Hedgehog Hotel","Peri-urban","Plastic_netting","PTS",100
"Glamorgan Hedgehog Rescue","Urban","Plastic_netting","PTS",200
"Glamorgan Hedgehog Rescue","Urban","Plastic_netting","Recovered",200
"Glamorgan Hedgehog Rescue","Urban","Plastic_netting","Recovered",200
"Glamorgan Hedgehog Rescue","Urban","Plastic_netting","Recovered",200
"Glamorgan Hedgehog Rescue","Urban","Plastic_netting","Recovered",200
"Hamble Hedgehogs Rescue","Urban","Plastic_netting","Recovered",150
"Hamble Hedgehogs Rescue","Urban","Plastic_netting","PTS",150
"Hamble Hedgehogs Rescue","Urban","Plastic_netting","Recovered",150
"HART Wildlife Rescue","Peri-urban","Plastic_netting","PTS",300
"Hedgehog Bottom","Urban","Plastic_netting","Recovered",700
"Hedgehog Bottom","Urban","Plastic_netting","Recovered",700
"Hedgehog Cabin Scotland","Urban","Plastic_netting","PTS",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","PTS",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","PTS",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Cabin Scotland","Urban","Plastic_netting","Recovered",140
"Hedgehog Torfaen","Urban","Plastic_netting","PTS",100
"Hedgehog Torfaen","Urban","Plastic_netting","Recovered",100
"Hedgehog Torfaen","Urban","Plastic_netting","Recovered",100
"Hedgely hogspital ","Rural","Plastic_netting","PTS",300
"Hedgely hogspital ","Rural","Plastic_netting","PTS",300
"Hedgepigs and Hoglets Rescue","Urban","Plastic_netting","PTS",500
"Hedgepigs and Hoglets Rescue","Urban","Plastic_netting","Recovered",500
"Help4hedgehogs ","Peri-urban","Plastic_netting","PTS",100
"Herbie Hedgehog Rescue","Urban","Plastic_netting","PTS",300
"Herbie Hedgehog Rescue","Urban","Plastic_netting","Recovered",300
"Herbie Hedgehog Rescue","Urban","Plastic_netting","Recovered",300
"Herbie Hedgehog Rescue","Urban","Plastic_netting","Recovered",300
"Herbie Hedgehog Rescue","Urban","Plastic_netting","Recovered",300
"Hessilhead Wildlife Rescue","Rural","Plastic_netting","PTS",300
"Hessilhead Wildlife Rescue","Rural","Plastic_netting","Recovered",300
"Hurst Hedgehog Haven","Urban","Plastic_netting","Recovered",180
"Isle of Wight Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered",100
"Les Monts Hedgehog Rescue","Urban","Plastic_netting","PTS",120
"Les Monts Hedgehog Rescue","Urban","Plastic_netting","Recovered",120
"Micklefield Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered",300
"Micklefield Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered",300
"Micklefield Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered",300
"Micklefield Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered",300
"North Herts Hogs Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered",30
"Pepperfield farm hedgehog rescue","Rural","Plastic_netting","Recovered",250
"Pickering Hedgehog Rescue","Rural","Plastic_netting","PTS",350
"Prickles and Paws Hedgehog Rescue","Peri-urban","Plastic_netting","PTS","1000"
"Prickles and Paws Hedgehog Rescue","Peri-urban","Plastic_netting","Recovered","1000"
"Project Prickles Hedgehog Rescue","Urban","Plastic_netting","Recovered",100
"Project Prickles Hedgehog Rescue","Urban","Plastic_netting","Recovered",100
"Project Prickles Hedgehog Rescue","Urban","Plastic_netting","Recovered",100
"RSPCA (covers all four centres) data for 2021","n/a","Plastic_netting","PTS",250
"RSPCA (covers all four centres) data for 2022","n/a","Plastic_netting","Recovered",250
"Severn Wildlife Rescue","Urban","Plastic_netting","Recovered",200
"Suffolk Prickles Hedgehog Rescue","Urban","Plastic_netting","Recovered",300
"Suffolk Prickles hedgehog Rescue","Urban","Plastic_netting","Recovered",300
"The Wildlife Aid Foundation","Urban","Plastic_netting","PTS",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","PTS",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","PTS",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","PTS",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","Recovered",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","Recovered",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","Recovered",250
"The Wildlife Aid Foundation","Urban","Plastic_netting","Recovered",250
"Urchins Hedgehog Care","Urban","Plastic_netting","PTS",250
"Urchins Hedgehog Care","Urban","Plastic_netting","PTS",250
"Urchins Hedgehog Care","Urban","Plastic_netting","Recovered",250
"West Midlands Hedgehog Rescue ","Urban","Plastic_netting","Recovered",850
"West Midlands Hedgehog Rescue ","Urban","Plastic_netting","Recovered",850
"West Midlands Hedgehog Rescue ","Urban","Plastic_netting","Recovered",850
"Wild Hogs Hedgehog Rescue","Peri-urban","Plastic_netting","PTS",375
"Wild Things Rescue","Peri-urban","Plastic_netting","Recovered",250
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_netting","PTS",520
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_netting","PTS",520
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_netting","PTS",520
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_netting","Recovered",520
"Cuan Wildlife ","Peri-urban","Plastic_ring","PTS",300
"Emma's Hedgehog Hotel","Peri-urban","Plastic_ring","PTS",100
"Emma's Hedgehog Hotel","Peri-urban","Plastic_ring","Recovered",100
"Hamble Hedgehogs Rescue","Urban","Plastic_ring","PTS",150
"Hamble Hedgehogs Rescue","Urban","Plastic_ring","PTS",150
"Hedgehog Bottom","Urban","Plastic_ring","Recovered",700
"Hedgehog Bottom","Urban","Plastic_ring","PTS",700
"Hedgehog Bottom","Urban","Plastic_ring","PTS",700
"Hedgehog Bottom","Urban","Plastic_ring","PTS",700
"Hedgehog Bottom","Urban","Plastic_ring","PTS",700
"Hedgehog Bottom","Urban","Plastic_ring","PTS",700
"Hedgehog Bottom","Urban","Plastic_ring","Recovered",700
"Hedgehog Cabin Scotland","Urban","Plastic_ring","PTS",140
"Hedgehog Cabin Scotland","Urban","Plastic_ring","PTS",140
"Hedgehog Cabin Scotland","Urban","Plastic_ring","Recovered",140
"Hedgehog Rescue North Somerset","Urban","Plastic_ring","Recovered",225
"Help4hedgehogs ","Peri-urban","Plastic_ring","PTS",100
"Independent Practitioner (Ecologist)","Rural","Plastic_ring","PTS",100
"Independent Practitioner (Ecologist)","Rural","Plastic_ring","PTS",100
"Micklefield Hedgehog Rescue","Peri-urban","Plastic_ring","PTS",300
"Micklefield Hedgehog Rescue","Peri-urban","Plastic_ring","Recovered",300
"Pepperfield farm hedgehog rescue","Rural","Plastic_ring","PTS",250
"Project Prickles Hedgehog Rescue","Urban","Plastic_ring","Recovered",100
"Project Prickles Hedgehog Rescue","Urban","Plastic_ring","Recovered",100
"RSPCA (covers all four centres) data for 2023","n/a","Plastic_ring","Recovered",250
"Suffolk Prickles hedgehog Rescue","Urban","Plastic_ring","Recovered",300
"The Hedgehog Hut","Urban","Plastic_ring","Recovered",125
"The Hedgehoggery","Urban","Plastic_ring","PTS",150
"The Hedgehoggery","Urban","Plastic_ring","PTS",150
"The Hedgehoggery","Urban","Plastic_ring","PTS",150
"The Hedgehoggery","Urban","Plastic_ring","Recovered",150
"The Hedgehoggery","Urban","Plastic_ring","Recovered",150
"The Wildlife Aid Foundation","Urban","Plastic_ring","PTS",250
"Urchins Hedgehog Care","Urban","Plastic_ring","Recovered",250
"West Sussex Wildlife Protection","Urban","Plastic_ring","PTS",259
"Wild Hogs Hedgehog Rescue","Peri-urban","Plastic_ring","Recovered",375
"Wild Things Rescue","Peri-urban","Plastic_ring","PTS",250
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_ring","Recovered",520
"Hamble Hedgehogs Rescue","Urban","Plastic_bag","PTS",150
"Project Prickles Hedgehog Rescue","Urban","Plastic_bag","Recovered",100
"Urchins Hedgehog Care","Urban","Plastic_bag","PTS",250
"Wild Hogs Hedgehog Rescue","Peri-urban","Plastic_bag","PTS",375
"Wolds Hedgehog Rescue ","Peri-urban","Plastic_bag","PTS",520
